DOC Start at : Sun Feb 14 11:08:44 2021

Frq. Band 1: 1585 - 1605 Hz  Frq. Band 2: 1900 - 1920 Hz  (Sample Freq: 44100 Hz  Frequency Resolution: 3 Hz  --> Sample Size (Chunk): 14700)
ID          time   Frq Hz: 1584    1586    1590    1592    1596    1599    1602    1898    1902    1905    1908    1911    1914    1917        avg FB1/FB2/sum   max FB1/F / max FB2/F / sum smp/sec
P3 1613318962 11:09:22        9      10      29      22      37      14       9      55       7       3       1      44      44      16       18     24     42    37 1596     55 1898     92   3
P3 1613318963 11:09:23       52      84      80      20      41      56      16      14       1      16      28      36     103     104       49     43     92    84 1586    104 1917    188   3
P3 1613318964 11:09:24       14      14       7      32      62      52      13      67      40      29      67      49       4       3       27     37     64    62 1596     67 1898    129   3
P3 1613318965 11:09:25       28     324      88     536     247    2493    2693      11     193     725     184      33      28      32      915    172   1087  2693 1602    725 1905   3418   3
P3 1613318966 11:09:26       14      10      74      45      20       5       7       7      21       6      13      27       5      16       25     13     38    74 1590     27 1911    101   3
P3 1613318967 11:09:27      112      50       1      91     105      92      18       7      29      29      44      97      84      51       67     48    115   112 1584     97 1911    209   3
P3 1613318968 11:09:28      105      16      19       0      12      18       7      42      88      64      22      24      38       7       25     40     65   105 1584     88 1902    193   3
P3 1613318969 11:09:29        0       0      28      48      24       2       3       9      11      38     104      70      19      22       15     39     54    48 1592    104 1908    152   4
P3 1613318970 11:09:30       82      58      34      16      12      33       0       3      26     110      32     107      32      88       33     56     89    82 1584    110 1905    192   3
P3 1613318971 11:09:31       35       2      61      33       7      19      46       4      16       7      52     149      58     136       29     60     89    61 1590    149 1911    210   3
P3 1613318972 11:09:32        7       5      19      19       5       3       1     154      81      27      81     112      39       4        8     71     79    19 1590    154 1898    173   3
P3 1613318973 11:09:33       38      23      14      21       5       2       5       4      15      15       1       4       0       2       15      5     20    38 1584     15 1902     53   3
P3 1613318974 11:09:34       84      44      42      10      14      43      52      40      59     119      64      10      14      99       41     57     98    84 1584    119 1905    203   2
P3 1613318975 11:09:35       17      53     118      78      70       9      12       9      11       8      17      24      36      68       51     24     75   118 1590     68 1917    186   3
P3 1613318976 11:09:36       97      60      38      10      15      55      24      35       6      17      21       8      29       8       42     17     59    97 1584     35 1898    132   3
P3 1613318977 11:09:37       53      87      53      21      71      69       0      33      22      91      89      65     153     267       50    102    152    87 1586    267 1917    354   3
P3 1613318978 11:09:38       69      92      49      48      72      55      25       4      13       2      24      46     442     752       58    183    241    92 1586    752 1917    844   1
P3 1613318979 11:09:39       14      54      12     109     128      40      55      29      38      33      11      24      30      20       58     26     84   128 1596     38 1902    166   3
P3 1613318980 11:09:40        6       3      41      29      22       6      58      10      37     155     103      45      94     118       23     80    103    58 1602    155 1905    213   3
P3 1613318981 11:09:41       46      34      64      68      47      91      70      50      68      41       4       2       6      35       60     29     89    91 1599     68 1902    159   3
P3 1613318982 11:09:42        1       9      50      76      61      20       9      72      17      23      20      88     125      18       32     51     83    76 1592    125 1914    201   3

Frq. Band 1: 1585 - 1605 Hz  Frq. Band 2: 1900 - 1920 Hz  (Sample Freq: 44100 Hz  Frequency Resolution: 3 Hz  --> Sample Size (Chunk): 14700)
ID          time   Frq Hz: 1584    1586    1590    1592    1596    1599    1602    1898    1902    1905    1908    1911    1914    1917        avg FB1/FB2/sum   max FB1/F / max FB2/F / sum smp/sec
P3 1613318983 11:09:43       61      34       9      32      17      10      13      29      76     144      98      72      59      20       25     71     96    61 1584    144 1905    205   4
P3 1613318984 11:09:44       88       0      28      22      38      18      20      74      49      11      19      34      16       1       30     29     59    88 1584     74 1898    162   3
P3 1613318985 11:09:45        3      38      69      88     103      47      36      21       4      12      19      31      50      76       54     30     84   103 1596     76 1917    179   3
P3 1613318986 11:09:46       49     121      76      10      63      75     203       1       4      75      81       4      68      21       85     36    121   203 1602     81 1908    284   3
P3 1613318987 11:09:47       29      93      89      12      10      10      17      83      40       2      14      21      38      84       37     40     77    93 1586     84 1917    177   3
P3 1613318988 11:09:48       33      36       6     161     476     288       6       8      56      68      10      85      27     118      143     53    196   476 1596    118 1917    594   1
P3 1613318989 11:09:49      141     119      40      16      34     108     129      30      72      42       8      52      24       3       83     33    116   141 1584     72 1902    213   3
P3 1613318990 11:09:50       21       1       2       3       4      42     102       0       9       7       0      41      40      27       25     17     42   102 1602     41 1911    143   3
P3 1613318991 11:09:51       34       4      11      66     120      60       9      51      69     150      80      32      15       1       43     56     99   120 1596    150 1905    270   3
P3 1613318992 11:09:52       31      98     353     769     740     551     414    2244     850    1182    2347    1191      88     903      422   1257   1679   769 1592   2347 1908   3116   3
P3 1613318993 11:09:53      252      90     268    1575    3556    3122     463   44547   79988   96325   51656   24674    1367   10188     1332  44106  45438  3556 1596  96325 1905  99881   3
P3 1613318994 11:09:54       25      39      37      14       6      15     139      91       2     264     662    1177    1046    1563       39    686    725   139 1602   1563 1917   1702   2
P3 1613318995 11:09:55       10      11      20     119     132      51      10      21      65      65      10      22      27       9       50     31     81   132 1596     65 1902    197   4
P3 1613318996 11:09:56        2       3      28      72      12      23      17      44       4      31      55     101       0      69       22     43     65    72 1592    101 1911    173   3
P3 1613318997 11:09:57       16       4     103     342     454     293     617       8      49      47      84      50      20      17      261     39    300   617 1602     84 1908    701   3
P3 1613318998 11:09:58      471     443     998     858     310     102     209      24      88     129      89      37      52     101      484     74    558   998 1590    129 1905   1127   3
P3 1613318999 11:09:59       49       0      28      71     517     688     421      71      50      26      50     155     259     167      253    111    364   688 1599    259 1914    947   3
P3 1613319000 11:10:00        6      35      21     190      82      21     152     155     114     765     394      86      52     328       72    270    342   190 1592    765 1905    955   1
P3 1613319001 11:10:01      560     663    1247     313     312     152     863    4849    2639    1345     506     907    1736    1748      587   1961   2548  1247 1590   4849 1898   6096   1
P3 1613319002 11:10:02       88     130     184      78      10      51      28      40     397    1180     776     196     125     332       81    435    516   184 1590   1180 1905   1364   2
P3 1613319003 11:10:03    19219    8019    1734    3845    5314    7948    5738     187     368     104     522    1437     614      96     7402    475   7877 19219 1584   1437 1911  20656   4
P3 1613319004 11:10:04      221     460     289     174    2238     861     212   24069   14956    4635    3373    4475    5878    6801      636   9169   9805  2238 1596  24069 1898  26307   1
P3 1613319005 11:10:05      977     236     194     497     107      83      85      96       3      81     287      32     136     317      311    136    447   977 1584    317 1917   1294   2
P3 1613319006 11:10:06      227     357      37     169     189     391     232     114     162      99      85      46      34     136      228     96    324   391 1599    162 1902    553   3
P3 1613319007 11:10:07       97       5      23      56      80      44      24    2733    3032    1569    1380    1719     351     318       47   1586   1633    97 1584   3032 1902   3129   3
P3 1613319008 11:10:08       68      50     177     451     668     506     334     172      18      13     292     331      52     105      322    140    462   668 1596    331 1911    999   1
P3 1613319009 11:10:09     4973     778      60     148     249     195     462      10      37      12       8       3       9      38      980     16    996  4973 1584     38 1917   5011   3
P3 1613319010 11:10:10        3      17       6       4      19      51      22      79     209     176     103      88      31      41       17    103    120    51 1599    209 1902    260   3
